ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB01,Económico,Negativo,INVERSION,Preparacion de loza de concreto (IMPERMEABILIZAR),,Inicial (única vez),M2,100,100,100,125,150,100,ene-2020,feb-2020,0,Lineal,,,
CB02,Económico,Negativo,MANO DE OBRA,PAGO DE ALBAÑILes,,Inicial (única vez),DIAS,6,6,6,800,1000,600,feb-2020,mar-2020,0,Lineal,,,
CB03,Económico,Negativo,instalacion,colocacion de tuberia,,Inicial (única vez),ML,45,50,42,700,800,600,feb-2020,mar-2020,0,Lineal,,,
CB04,Económico,Negativo,INSTALACION,Colocacion de coladeras y filtros,,Inicial (única vez),pieza,1,1,1,1200,1300,1000,feb-2020,mar-2020,0,Lineal,,,
CB05,Económico,Negativo,instalacion,filtro reductor de velocidad,,Inicial (única vez),pieza,1,1,1,350,400,300,feb-2020,mar-2020,0,Lineal,,,
CB06,Económico,Negativo,instalacion,colocacion de tinaco cisterna 15000 lts,,Inicial (única vez),pieza,1,1,1,"40,000",45000,35000,mar-2020,abr-2020,0,Lineal,,,
CB07,Económico,Negativo,consumo,gasto bimestral por agua,,Cada 2 meses,pesos,6,6,6,350,350,350,feb-2018,mar-2020,0,Lineal,,,
CB08,Económico,Positivo,ahorro,agua de sun¿ministro  para servicios ,,Anual,pesos,2100,2000,2500,1,1,1,abr-2020,abr-2021,0,Lineal,,,
CB09,Económico,Negativo,mantenimiento,mantenimiento preventivo-correctivo,,Cada 6 meses,servicio,1,1,1,400,450,350,oct-2020,abr-2020,0,Lineal,,,
CB10,,,,,,,,,,,,,,,,,,,,
