ID,Tipo,Impacto,categoria,Detalles,prop,Frecuencia,Unidad_de_medida,Cantidad,Cant_pesimista,Cant_optimista,p,p_pes,p_opt,fecha_inicio,fecha_final,externalidad,modelo,coef1,coef2,coef3
CB1,Económico,Positivo,Venta,Leche,1,Mensual,canasta,80,40,120,300,250,350,ene-2016,dic-2025,,Bass (Modelo de difusión),.01,0.031667,1
CB2,Económico,Negativo,Venta,Mantto,,Mensual,canasta,80,40,120,150,200,125,ene-2016,dic-2025,,Bass (Modelo de difusión),.01,0.031667,1
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB3,Económico,Negativo,Costos fijos,Costos fijos,,Mensual,lote,1,1,1,5000,8000,4000,ene-2016,dic-2025,,Lineal,,,
CB4,Económico,Negativo,Inv Inic,Inv inic,,Inicial (única vez),lote,1,1,1,15000,20000,12000,ene-2016,dic-2025,,Lineal,,,
